timestamp_pc,lectura_cruda,voltaje,porcentaje
 2026- 04- 13 14: 19: 27,3387,2.729,82.0
 2026- 04- 13 14: 19: 27,3376,2.721,82.0
 2026- 04- 13 14: 19: 27,3378,2.722,82.0
 2026- 04- 13 14: 19: 27,3385,2.728,82.0
 2026- 04- 13 14: 19: 27,3387,2.729,82.0
 2026- 04- 13 14: 19: 28,3385,2.728,82.0
 2026- 04- 13 14: 19: 28,3379,2.723,82.0
 2026- 04- 13 14: 19: 29,3387,2.729,82.0
 2026- 04- 13 14: 19: 29,3376,2.721,82.0
 2026- 04- 13 14: 19: 30,3374,2.719,82.0
 2026- 04- 13 14: 19: 30,3380,2.724,82.0
 2026- 04- 13 14: 19: 31,3383,2.726,82.0
 2026- 04- 13 14: 19: 31,3389,2.731,82.0
 2026- 04- 13 14: 19: 32,3375,2.72,82.0
 2026- 04- 13 14: 19: 32,3375,2.72,82.0
 2026- 04- 13 14: 19: 33,3376,2.721,82.0
 2026- 04- 13 14: 19: 33,3383,2.726,82.0
 2026- 04- 13 14: 19: 34,3379,2.723,82.0
 2026- 04- 13 14: 19: 34,3388,2.73,82.0
 2026- 04- 13 14: 19: 35,3384,2.727,82.0
 2026- 04- 13 14: 19: 35,3383,2.726,82.0
 2026- 04- 13 14: 19: 36,3380,2.724,82.0
 2026- 04- 13 14: 19: 36,3377,2.721,82.0
 2026- 04- 13 14: 19: 37,3388,2.73,82.0
 2026- 04- 13 14: 19: 37,3376,2.721,82.0
 2026- 04- 13 14: 19: 38,3376,2.721,82.0
 2026- 04- 13 14: 19: 38,3383,2.726,82.0
 2026- 04- 13 14: 19: 39,3390,2.732,82.0
 2026- 04- 13 14: 19: 39,3381,2.725,82.0
 2026- 04- 13 14: 19: 40,3383,2.726,82.0
 2026- 04- 13 14: 19: 40,3381,2.725,82.0
 2026- 04- 13 14: 19: 41,3382,2.725,82.0
 2026- 04- 13 14: 19: 41,3379,2.723,82.0
 2026- 04- 13 14: 19: 42,3379,2.723,82.0
 2026- 04- 13 14: 19: 42,3375,2.72,82.0
 2026- 04- 13 14: 19: 43,3385,2.728,82.0
 2026- 04- 13 14: 19: 43,3383,2.726,82.0
 2026- 04- 13 14: 19: 44,3378,2.722,82.0
 2026- 04- 13 14: 19: 44,3385,2.728,82.0
 2026- 04- 13 14: 19: 45,3389,2.731,82.0
 2026- 04- 13 14: 19: 45,3381,2.725,82.0
 2026- 04- 13 14: 19: 46,3385,2.728,82.0
 2026- 04- 13 14: 19: 46,3376,2.721,82.0
 2026- 04- 13 14: 19: 47,3389,2.731,82.0
 2026- 04- 13 14: 19: 47,3374,2.719,82.0
 2026- 04- 13 14: 19: 48,3381,2.725,82.0
 2026- 04- 13 14: 19: 48,3379,2.723,82.0
 2026- 04- 13 14: 19: 49,3382,2.725,82.0
 2026- 04- 13 14: 19: 49,3382,2.725,82.0
 2026- 04- 13 14: 19: 50,3381,2.725,82.0
 2026- 04- 13 14: 19: 50,3382,2.725,82.0
 2026- 04- 13 14: 19: 51,3382,2.725,82.0
 2026- 04- 13 14: 19: 51,3386,2.729,82.0
 2026- 04- 13 14: 19: 52,3378,2.722,82.0
 2026- 04- 13 14: 19: 52,3380,2.724,82.0
 2026- 04- 13 14: 19: 53,3385,2.728,82.0
 2026- 04- 13 14: 19: 53,3376,2.721,82.0
 2026- 04- 13 14: 19: 54,3381,2.725,82.0
 2026- 04- 13 14: 19: 54,3375,2.72,82.0
 2026- 04- 13 14: 19: 55,3393,2.734,82.0
 2026- 04- 13 14: 19: 55,3386,2.729,82.0
 2026- 04- 13 14: 19: 56,3391,2.733,82.0
 2026- 04- 13 14: 19: 56,3382,2.725,82.0
 2026- 04- 13 14: 19: 57,3391,2.733,82.0
 2026- 04- 13 14: 19: 57,3379,2.723,82.0
 2026- 04- 13 14: 19: 58,3376,2.721,82.0
 2026- 04- 13 14: 19: 58,3377,2.721,82.0
 2026- 04- 13 14: 19: 59,3381,2.725,82.0
 2026- 04- 13 14: 19: 59,3377,2.721,82.0
 2026- 04- 13 14: 20: 00,3383,2.726,82.0
 2026- 04- 13 14: 20: 00,3380,2.724,82.0
 2026- 04- 13 14: 20: 01,3376,2.721,82.0
 2026- 04- 13 14: 20: 01,3379,2.723,82.0
 2026- 04- 13 14: 20: 02,3381,2.725,82.0
 2026- 04- 13 14: 20: 02,3381,2.725,82.0
 2026- 04- 13 14: 20: 03,3375,2.72,82.0
 2026- 04- 13 14: 20: 03,3405,2.744,83.0
 2026- 04- 13 14: 20: 04,3385,2.728,82.0
 2026- 04- 13 14: 20: 04,3386,2.729,82.0
 2026- 04- 13 14: 20: 05,3383,2.726,82.0
 2026- 04- 13 14: 20: 05,3379,2.723,82.0
 2026- 04- 13 14: 20: 06,3389,2.731,82.0
 2026- 04- 13 14: 20: 06,3388,2.73,82.0
 2026- 04- 13 14: 20: 07,3378,2.722,82.0
 2026- 04- 13 14: 20: 07,3382,2.725,82.0
 2026- 04- 13 14: 20: 08,3377,2.721,82.0
 2026- 04- 13 14: 20: 08,3118,2.513,76.0
 2026- 04- 13 14: 20: 09,3367,2.713,82.0
 2026- 04- 13 14: 20: 09,3967,3.197,96.0
 2026- 04- 13 14: 20: 10,4095,3.3,100.0
 2026- 04- 13 14: 20: 10,4095,3.3,100.0
 2026- 04- 13 14: 20: 11,4095,3.3,100.0
 2026- 04- 13 14: 20: 11,4095,3.3,100.0
 2026- 04- 13 14: 20: 12,4095,3.3,100.0
 2026- 04- 13 14: 20: 12,4095,3.3,100.0
 2026- 04- 13 14: 20: 13,4095,3.3,100.0
 2026- 04- 13 14: 20: 13,4095,3.3,100.0
 2026- 04- 13 14: 20: 14,4095,3.3,100.0
 2026- 04- 13 14: 20: 14,4095,3.3,100.0
 2026- 04- 13 14: 20: 15,4095,3.3,100.0
 2026- 04- 13 14: 20: 15,4095,3.3,100.0
 2026- 04- 13 14: 20: 16,4095,3.3,100.0
 2026- 04- 13 14: 20: 16,4095,3.3,100.0
 2026- 04- 13 14: 20: 17,4095,3.3,100.0
 2026- 04- 13 14: 20: 17,4095,3.3,100.0
